State,Constituency,Division/Seat No.,Name of Member
Kerala                                                      ,Kottayam,253,Shri  Jose K.  Mani                                              
Kerala                                                      ,Attingal,315,Adv.  A.  Sampath                                           
Kerala                                                      ,Alathur,347,Shri  P. K.  Biju                                              
Kerala                                                      ,Palakkad,348,Shri  M. B.  Rajesh                                            
Kerala                                                      ,Kasaragod,371,Shri  P.  Karunakaran                                       
Lakshadweep                                                 ,Lakshadweep,82,Shri  Hamdullah  Sayeed                                            
Madhya Pradesh                                              ,Khandwa,74,Shri  Arun  Yadav                                             
Madhya Pradesh                                              ,Ratlam,109,Shri  Kantilal  Bhuria                                            
Madhya Pradesh                                              ,Dhar,141,Shri  Gajendra Singh  Rajukhedi                                         
Madhya Pradesh                                              ,Shahdol,162,Smt.  Rajesh Nandini  Singh                                             
Madhya Pradesh                                              ,Mandsour,166,Smt.  Meenakshi  Natrajan                                          
Madhya Pradesh                                              ,Dewas,171,Shri  Sajjan Singh  Verma                                             
Madhya Pradesh                                              ,Mandla,174,Shri  Basori Singh  Masram                                            
Madhya Pradesh                                              ,Rajgarh,252,Shri  Narayan Singh  Amlabe                                            
Madhya Pradesh                                              ,Hoshangabad,264,Shri  Uday Pratap  Singh                                             
Madhya Pradesh                                              ,Ujjain,265,Shri  Premchand  Guddu                                             
Madhya Pradesh                                              ,Rewa,345,Shri  Deoraj Singh  Patel                                             
Madhya Pradesh                                              ,Khajuraho,416,Shri  Jeetendra Singh  Bundela                                           
Madhya Pradesh                                              ,Bhopal,473,Shri  Kailash  Joshi                                             
Madhya Pradesh                                              ,Indore,474,Smt.  Sumitra  Mahajan                                           
Madhya Pradesh                                              ,Morena,477,Shri  Narendra Singh  Tomar                                             
Madhya Pradesh                                              ,Gwalior,478,Smt.  Yashodhara Raje  Scindia                                           
Madhya Pradesh                                              ,Bhind,491,Shri  Ashok  Argal                                             
Madhya Pradesh                                              ,Tikamgarh,492,Shri    Virendra Kumar                                    
Madhya Pradesh                                              ,Satna,493,Shri  Ganesh  Singh                                             
Madhya Pradesh                                              ,Jabalpur,494,Shri  Rakesh  Singh                                             
Madhya Pradesh                                              ,Sidhi,514,Shri  Govind Prasad  Mishra                                            
Madhya Pradesh                                              ,Sagar,517,Shri  Bhupendra  Singh                                             
Madhya Pradesh                                              ,Damoh,531,Shri  Shivraj  Bhaiya                                            
Madhya Pradesh                                              ,Khargone,534,Shri  Makhansingh  Solanki                                           
Madhya Pradesh                                              ,Balaghat,539,Shri  K. D.  Deshmukh                                          
Madhya Pradesh                                              ,Betul,542,Smt.  Jyoti  Dhurve                                            
Maharashtra                                                 ,Sangli,53,Shri  Pratik  Patil                                             
Maharashtra                                                 ,Nagpur,100,Shri  Vilasrao Baburao  Muttemwar                                         
Maharashtra                                                 ,Nandurbar,101,Shri  Manikrao Hodlya  Gavit                                             
